ID,N,E,C
1,ærlig,"honest, sincere",ærlig - ærlige;ærligere - ærligst - ærligste
2,alvorlig,"serious, earnest",alvorlig - alvorlige; alvorligere - alvorligst - alvorligste
3,anstrengende,"tiring, tough",anstrengende - anstrengende; mer - mest
4,ansvarlig,responsible,ansvarlig - ansvarlige; mer - mest
5,bekjent,well known,bekjent - bekjente; mer - mest
6,bekvem,comfortable,bekvem (-t) - bekvemme; bekvemmere - bekvemmest - bekvemmeste
7,beregnet,estimated,
8,besatt,occupied,besatt - besatte; mer - mest
9,bevisst,conscious,bevisst - bevisste; mer - mest
10,bevisstløs,unconscious,bevisstløs (-t) -  bevisstløse; mer - mest
11,billig,cheap,billig - billige; billigere - billigst - billigste
12,bitter,bitter,bitter (-t) - bitre; bitrere - bitrest - bitreste
13,blå,blue,blå (-tt) - blå; blåere - blåest - blåeste
14,blålilla,mauve,
15,blid,"kind, friendly",blid (-t) - blide; blidere - blidest - blideste
16,bløt,soft,bløt (-t) - bløte; bløtere - bløtest - bløteste
17,bokstavelig,literal,bokstavelig - bokstavelige; mer - mest
18,bråkete,noisy,bråkete - bråkete; mer - mest
19,bratt,steep,bratt - bratte; brattere - brattest - bratteste
20,bred,wide,bred (-t) - brede; bredere -  bredest - bredeste
21,brun,brown,brun (-t) -brune; brunere - brunest - bruneste
22,brysom,troublesome,brysom (-t) - brysomme; brysommere - brysomst - brysomste
23,daglig,"daily; ordinary, common",daglig - daglige; mer - mest
24,dårlig,bad,dårlig - dårlige; dårligere - dårligst - dårligste
25,deilig,"nice, pleasant, comfortable",deilig - deilige; deiligere - deiligst - deiligste
26,delvis,partial,
27,dømt,doomed,
28,drøy,demanding; tough,drøy (-t) - drøye; drøyere - drøyest - drøyeste
29,dum,stupid,dum (-t) - dumme; dummere - dummest - dummeste
30,dyp,deep,dyp (-t) - dype; dypere - dypest - dypeste
31,dyr,expensive,dyr (-t) - dyre; dyrere - dyrest - dyreste
32,edru,sober,edru - edru (-e); mer - mest
33,egen,own; peculiar,egen (-t) - egne; mer - mest
34,egentlig,proper; real,egentlig - egentlige; mer - mest
35,ekte,"real, genuine",ekte - ekte; mer - mest
36,enestående,"unique, exceptional",enestående - enestående; mer - mest
37,enig,"united, agreed",enig - enige; mer - mest
38,enkel,easy,enkel (-t) -  enkle; enklere - enklest - enkleste
39,ensom,lonely; lonesome,ensom (-t) -  ensomme;  ensommere - ensomst - ensomste
40,erklært,declared,erklært - erklærte; mer - mest
41,etablert,established,etablert - etablerte; mer - mest
42,få,few,få; færre - færrest - færreste
43,fæl,terrible; disgusting,fæl (-t) -  fæle; fælere - fælest - fæleste
44,falsk,forged,falsk (-t) - falske; falskere - falskest - falskeste
45,farlig,dangerous,farlig - farlige; farligere - farligst - farligste
46,fattig,poor,fattig - fattige; fattigere - fattigst - fattigste
47,feig,coward,feig (-t) - feige; feigere - feigest - feigeste
48,feil,wrong,
49,felles,"mutual, common, joint",felles - felles; mer - mest
50,fersk,fresh,fersk (-t) - ferske; ferskere - ferskest - ferskeste
51,fiolett,violet,fiolett - fiolette; mer - mest
