ID,N,E,C
1,ærlig,honestly; sincerely,
2,aldri,never,
3,alene,alone,
4,allerede,already,
5,alltid,always,
6,altså,"thus, so",
7,alvorlig,"seriously, earnestly",
8,åpenbart,obviously,
9,åssen,how,
10,bokstavelig,literally,
11,bom,absolutely; completely,
12,bort,"away, off",
13,bortsett fra,except for,
14,delvis,partly,
15,der,there,
16,deretter,"after that, then",
17,derfra,from there,
18,dessuten,moreover,
19,egentlig,actually; really,
20,ellers,otherwise; generally,
21,enda,yet,
22,ene,"only, solely",
23,eneste måten,the only way,
24,ennå,yet,
25,etter hvert,gradually,
26,eventuelt,"possibly, if any",
27,for,too,
28,før,before; earlier,
29,for det første (andre),firstly (secondly),
30,forbauset,in surprise,
31,foreløpig,"provisionally, temporarily",
32,forhåpentligvis,hopefully,
33,forresten,by the way; anyway,
34,forsiktig,carefully; cautiously,
35,fortsatt,still,
36,fremdeles,still,
37,fryktelig,terribly; dreadfully,
38,fullstendig,"completely, entirely",
39,ganske,fairly,
40,går kveld,last night,
41,grundig,thoroughly,
42,grusomt,terribly; awfully,
43,halvveis,halfway,
44,heldigvis,"luckily, fortunately",
45,helst,"preferably, particularly",
46,her,here,
47,herfra,from here,
48,hvor som helst,anywhere,
49,i dag,today,
50,i det siste,lately,
51,i fjor,last year,
52,i går,yesterday,
53,i hjel ,dead; to death,
54,i kveld,tonight,
55,i midten av,in the middle of ,
56,i morgen,tomorrow,
57,i morges,this morning,
58,i tillegg,additionally,
59,iblant,occasionally,
60,ille,"badly, awfully",
61,imidlertid,nevertheless,
62,innimellom,occasionally,
63,innover,inwards,
64,isteden,instead,
65,jevnlig,frequently,
66,kjempe,"super, really",
67,klart,"clearly, lucidly",
68,klin,completely,
69,knirkefritt,smoothly,
70,kun,"only, barely",
71,likevel,"nevertheless; still, yet",
72,lovlig,rather; a bit,
73,lurt,"wisely, cleverly",
74,mektig,immensely; greatly,
75,nå,now,
76,nær,near ,
77,ned,down,
78,nemlig,because; namely,
79,neste uke,next week,
80,nesten,"almost, nearly",
81,noen gang,ever ,
82,noen ganger,sometimes,
83,noensinne,"ever, at any time",
84,nokså,fairly; rather; tolerably,
85,nøyaktig,exactly; accurately,
86,nylig,recently,
87,omtrent,"about, roughly",
88,oppover,upwards,
89,ordentlig,"neatly, tidily",
90,overalt,everywhere,
91,på høyre side av,to the right from ,
92,på toppen side av,on the top,
93,på undersider av,underside,
94,på venstre side av,to the left from ,
95,perfekt,perfectly,
96,plutselig,suddenly,
97,raskt,quickly,
98,rettferdig,fair,
99,særlig,especially,
100,sakte,slowly,
101,sammen,together,
102,samtidig,at the same time,
103,sannsynligvis,probably,
104,såpass,"so, this much",
105,seig,sticky,
106,selvsagt,of course,
107,senere,later,
108,sent,late,
109,sikker,safely; surely; probably,
110,sjelden,rarely,
111,skikkelig,"properly, adequately",
112,slik,"such, like this",
113,snart,soon,
114,spent,"completely, quite",
115,stadig,constantly,
116,straks,"at once, immediately",
117,synlig,visibly; noticeably,
118,temmelig,fairly,
119,tidlig,early,
120,til fots,on foot,
121,titt,"often, frequently",
122,uansett,regardless; in any case,
123,umiddelbart,immediately,
124,unna,away,
125,utenfor,outside,
126,utenom,outside,
127,utrolig,unbelievably,
128,vekk,away; off,
129,vel,well,
130,veldig,very,
131,videre,furthermore,
132,virkelig,really,
