ID,N,E,C
1,okse,bull,en okse - oksen - okser - oksene
2,ku,cow,en/ei ku - kuen (kua) - kuer (kyr) - kuene (kyrne)
3,esel,donkey,et esel - eselet (eslet) - esler (esel) - eslene (esla)
4,geit,goat,en/ei geit - geiten (geita) - geiter - geitene
5,hest,horse,en hest - hesten - hester - hestene
6,mus,mouse,en/ei mus - musen (musa) - mus - musene
7,kanin,rabbit,en kanin - kaninen - kaniner - kaninene
8,sau,sheep,en sau - sauen - sauer - sauene
9,vær,ram,en vær - væren - værer - værene
10,gris,pig,en gris - grisen - griser - grisene
11,høne,hen,en/ei høne - hønen (høna) - høner - hønene
12,hane,cock,en hane - hanen - haner - hanene
13,fugleunge,chick,en fugleunge - fugleungen - fugleunger - fugleungene
14,and,duck,en/ei and - anden (anda) - ender - endene
15,gås,goose,en/ei gås - gåsen (gåsa) - gjæser (gjess) - gjæsene
16,kalkun,turkey,en kalkun - kalkunen - kalkuner - kalkunene -
17,fugl,bird,en fugl - fuglen - fugler - fuglene
18,katt,cat,en katt - katten - katter - kattene
19,kattunge,kitten,en kattunge - kattungen - kattunger - kattungene
20,hund,dog,en hund - hunden - hunder - hundene
21,hundevalp,puppy,en hundevalp - hundevalpen - hundevalper - hundevalpene
22,pinnsvin,hedgehog,et pinnsvin - pinnsvinet - pinnsvin - pinnsvinene (pinnsvina)
23,hare,hare,en hare - haren - harer - harene
24,papegøye,parrot,en papegøye - papegøyen - papegøyer - papegøyene
25,spurv,sparrow,en spurv - spurven - spurver - spurvene
26,meis,tit,en/ei meis - meisen (meisa) - meiser - meisene
27,skjære,magpie,en/ei skjære - skjæren (skjæra) - skjærer - skjærene
28,kråke,crow,en/ei kråke - kråken (kråka) - kråker - kråkene
29,måke,gull ,en/ei måke - måken (måka) - måker - måkene
30,svale,swallow,en/ei svale - svalen (svala) - svaler - svalene
31,stær,starling,en stær - stæren - stærer - stærene
32,svarttrost,ouzel,en svarttrost - svarttrosten - svarttroster -svarttrostene
33,stork,stork,en stork - storken - storker - storkene
34,ørn,eagle,en/ei ørn - ørnen (ørna) - ørner - ørnene
35,pingvin,penguin,en pingvin - pingvinen - pingviner - pingvinene
36,bjørn,bear,en bjørn - bjørnen - bjørner - bjørnene
37,hjort,deer,en hjort - hjorten - hjorter - hjortene
38,elg,moose,en elg - elgen - elger - elgene
39,ulv,wolf,en ulv - ulven - ulver - ulvene
40,slange,snake,en slange - slangen - slanger - slangene
41,rev,fox,en rev - reven - rever - revene
42,elefant,elephant,en elefant - elefanten - elefanter - elefantene
43,sjiraff,giraffe,en sjiraff - sjiraffen - sjiraffer - sjiraffene
44,alligator,alligator,en alligator - alligatoren - alligatorer - alligatorene
45,tiger,tiger,"en tiger - tigeren - tigre (tigrer, tigere) - tigrene"
46,løve,lion,en/ei løve - løven (løva) - løver - løvene
47,ape,monkey,en/ei ape - apen (apa) - aper - apene
48,vaskebjørn,raccoon,en vaskebjørn - vaskebjørnen - vaskebjørner - vaskebjørnene
49,isbjørn,white bear,en isbjørn - isbjørnen - isbjørner - isbjørnene
50,hoggorm,viper,en hoggorm - hoggormen - hoggormer - hoggormene
51,rovdyr,predator,et rovdyr - rovdyret - rovdyr - rovdyrene (rovdyra)
