ID,N,E,C,
1,ambassade,embassy,en ambassade - ambassaden - ambassader - ambassadene,
2,ankomst,arrival,en ankomst - ankomsten - ankomster - ankomstene,
3,anlegg,"construction; factory, plant",et anlegg - anlegget - anlegg - anleggene (anlegga),
4,apotek,pharmacy,et apotek - apoteket - apoteker (apotek) - apotekene (apoteka),
5,arkitektur,architecture,en arkitektur  - arkitekturen - arkitekturer - arkitekturene,
6,asfalt,asphalt,en asfalt - asfalten - asfalter - asfaltene,
7,avdeling,department,en/ei avdeling - avdelingen (avdelinga) - avdelinger - avdelingene,
8,avgang,departure,en avgang - avgangen - avganger  - avgangene,
9,avstand,distance,en avstand - avstanden - avstander - avstandene,
10,avtrykk,imprint,et avtrykk - avtrykket - avtrykk - avtrykkene (avtrykka),
11,bank,bank,en bank - banken - banker - bankene,
12,barnehage,kindergarten,en barnehage - barnehagen - barnehager - barnehagene,
13,båt,boat, en båt - båten - båter - båtene,
14,benk,bench,en benk - benken - benker - benkene,
15,bibliotek,library,et bibliotek - biblioteket - biblioteker (bibliotek) - bibliotekene (biblioteka),
16,bil,car,en bil - bilen - biler - bilene,
17,bilulykke,road accident,en/ei bilulykke - bilulykken (bilulykka) - bilulykker - bilulykkene,
18,borg,castle,en/ei borg - borgen (borga) - borger - borgene,
19,bro,bridge,en/ei bro - broen (broa) - broer - broene,
20,buss,bus,en buss - bussen - busser  - bussene,
21,butikk,store,en butikk - butikken - butikker - butikkene,
22,by,city  ,en by - byen - byer -byene,
23,bygning,building,en/ei bygning - bygningen (bygninga) - bygninger - bygningene,
24,dam,pond,en dam - dammen - dammer - dammene,
25,dekning,cover; coverage,en/ei dekning - dekningen (dekninga) - dekninger - dekningene,
26,drivstoff,fuel,et drivstoff - drivstoffet - drivstoffer (drivstoff) - drivstoffene (drivstoffa),
27,drosje,"cab, taxi",en/ei drosje - drosjen (drosja) - drosjer - drosjene,
28,dyrehage,zoo,en dyrehage - dyrehagen - dyrehager - dyrehagene,
29,eiendom,property,en eiendom - eiendommen - eiendommer - eiendommene,
30,etasje,floor,en etasje - etasjen - etasjer - etasjene,
31,etat,"department, service",en etat - etaten - etater - etatene,
32,fagskole (yrkesskole),college,en fagskole - fagskolen - fagskoler - fagskolene,
33,fengsel,"prison, imprisonment",et fengsel - fengslet - fengsler (fengsel) - fengslene (fengsla),
34,flagg,flag,et flagg - flagget - flagg - flaggene (flagga),
35,fontene,fountain,en fontene - fontenen  - fontener - fontenene,
36,forretning,business,en/ei forretning - forretningen (forretninga) - forretninger - forretningene,
37,fortau,pavement,et fortau - fortauet - fortauer (fortau) - fortauene,
38,fotgjenger,pedestrian,en fotgjenger  - fotgjengeren - fotgjengere - fotgjengerne,
39,fylke,county,et fylke - fylket - fylker - fylkene (fylka),
40,gate,street,en/ei gate - gaten (gata) - gater - gatene,
41,gjerde,fence,et gjerde - gjerdet -  gjerder - gjerdene (gjerda),
42,grav,tomb,en/ei grav - graven (grava) - graver - gravene,
43,gravlund,cemetery,en gravlund - gravlunden - gravlunder - gravlundene,
44,hage,garden,en hage - hagen - hager - hagene,
45,handelsskole,business college,en handelsskole - handelsskolen - handelsskoler - handelsskolene,
46,havn,port,en/ei havn - havnen (havna) - havner - havnene,
47,holdeplass,stop,en holdeplass  - holdeplassen - holdeplasser - holdeplassene,
48,hus,house,et hus -  huset -  hus -  husene ( husa),
49,kafé,cafe,en kafe - kafeen - kafeer - kafeene,
50,kart,map,et kart - kartet - karter (kart) - kartene (karta),
51,kino,movie,en kino - kinoen  - kinoer - kinoene,
