ID,N,E,C
1,avis,newspaper,en/ei avis - avisen (avisa) - aviser - avisene
2,bad,bathroom,et bad - badet - bad - badene (bada)
3,bærbar datamaskin,notebook (laptop),en datamaskin - datamaskinen - datamaskiner - datamaskinene
4,bakgård,backyard,en bakgård - bakgården - bakgårder - bakgårdene
5,balkong,balcony,en balkong - balkongen - balkonger - balkongene
6,bås,"stall, box",en bås - båsen - båser - båsene
7,beholder,container,en beholder - beholderen - beholdere - beholderne
8,bilde,picture,et bilde - bildet -  bilder - bildene (bilda)
9,blekk,ink,et blekk - blekket - blekk - blekkene (blekka)
10,blyant,pencil,en blyant - blyanten - blyanter - blyantene
11,bofellesskap,shared house,et bofellesskap - bofellesskapet - bofellesskaper (bofellesskap) - bofellesskapene (bofellesskapa)
12,bolle,bowl,en bowl - bowlen - bowler - bowlene
13,bord,table,et bord - bordet - border (bord) - bordene (borda)
14,børste,brush,en børste - børsten - børster - børstene
15,bøtte,bucket,en/ei bøtte - bøtten (bøtta) - bøtter - bøttene
16,brev,letter,et brev - brevet - brever (brev) - brevene (breva)
17,do,toilet,en/et do - doen (doet) - doer (do) - doene (doa)
18,dør,door,en/ei dør - døren (døra) - dører - dørene
19,eske,box,en/ei eske - esken (eska) - esker - eskene
20,etasje,storey; floor,en etasje - etasjen - etasjer - etasjene
21,fat,dish ,et fat - fatet - fater (fat) - fatene (fata)
22,fjernkontroll,remote control,en fjernkontroll - fjernkontrollen - fjernkontroller - fjernkontrollene
23,flaske,bottle,en/ei flaske - flasken (flaska) - flasker - flaskene
24,gaffel,fork,en gaffel - gaffelen - gafler - gaflene
25,gang,corridor,en gang - gangen - ganger - gangene
26,garderobe,wardrobe,en garderobe - garderoben - garderober - garderobene
27,gardin,curtain,"en/ei/et gardin - gardinen (gardina, gardinet) - gardiner (gardin) - gardinene (gardina)"
28,glass,glass,et glass - glasset - glass - glassene (glassa)
29,gryte,stewpan,en/ei gryte - gryten (gryta) - gryter - grytene
30,gryterett,casserole,en gryterett - gryteretten - gryteretter - gryterettene
31,gulv,floor,et gulv - gulvet - gulv - gulvene (gulva)
32,gulvteppe,carpet,et gulvteppe - gulvteppet - gulvtepper - gulvteppene (gulvteppa)
33,hus,house,et hus - huset - hus - husene (husa)
34,hylle,shelf,en/ei hylle - hyllen (hylla) - hyller - hyllene
35,ildsted,fireplace,et ildsted - ildstedet - ildsteder - ildstedene
36,inngang,entrance,en inngang - inngangen - innganger - inngangene
37,kabinett,cabinet,et kabinett -  kabinettet -  kabinetter (kabinett) - kabinettene (kabinetta)
38,kaffetrakter,coffee machine,en kaffetrakter - kaffetrakteren - kaffetraktere - kaffetrakterne 
39,kiste,"chest, trunk",en/ei kiste - kisten (kista) - kister - kistene
40,kjeller,cellar,en kjeller - kjelleren - kjellere - kjellerne
41,kjelleretasje,basement,en kjelleretasje - kjelleretasjen - kjelleretasjer - kjelleretasjene
42,kjøkken,kitchen,et kjøkken - kjøkkenet - kjøkkener (kjøkken) - kjøkkenene (kjøkkena)
43,kjøleskap,refrigerator,et kjøleskap - kjøleskapet - kjøleskap -kjøleskapene (kjøleskapa)
44,kniv,knife,en kniv - kniven - kniver - knivene
45,komfyr,stove (top),en komfyr - komfyren - komfyrer - komfyrene
46,kopp,cup,en kopp - koppen - kopper - koppene
47,kork,cork,en kork - korken - korker - korkene
48,kran,"crane, water tap",en/ei kran - kranen (krana) - kraner - kranene
49,krem,cream,en krem - kremen - kremer - kremene
50,krukke,jar,en/ei krukke - krukken (krukka) - krukker - krukkene
51,kurv,basket,en kurv - kurven - kurver - kurvene
52,laken,sheet,et laken - lakenet - lakener (laken) - lakenene (lakena)
