ID,N,E,C
1,angrep,attack,et angrep - angrepet - angrep - angrepene (angrepa)
2,anklage,accusation,en/ei anklage - anklagen (anklaga) - anklager - anklagene
3,anmeldelse,notification,en anmeldelse - anmeldelsen - anmeldelser - anmeldelsene
4,avhør,interrogation,et avhør - avhøret - avhør - avhørene (avhøra)
5,ball,ball,en ball - ballen - baller - ballene
6,basketak,struggle; fight,et basketak - basketaket - basketak - basketakene (basketaka)
7,beredskap,state of readiness,en/et beredskap - beredskapen (beredskapet) - beredskaper (beredskap) - beredskapene (beredskapa)
8,beskyldning,accusation,en/ei beskyldning - beskyldningen (beskyldninga) - beskyldninger - beskyldningene
9,beslutning,decision,en/ei beslutning - beslutningen (beslutninga) - beslutninger - beslutningene
10,bevis,evidence; proof,et bevis - beviset - beviser (bevis) - bevisene (bevisa)
11,bok,book,en/ei bok - boken (boka) - bøker - bøkene
12,bondegård,farm ,en bondegård - bondegården -bondegårder - bondegårdene
13,døgn,twenty-four hours,et døgn - døgnet - døgn - døgnene (døgna)
14,dritt,shit,en dritt - dritten - dritter - drittene
15,endring,change,en/ei endring - endringen (endringa) - endringer - endringene
16,eventyr,story,et eventyr - eventyret - eventyr - eventyrene (eventyra)
17,evighet,eternity,en/ei evighet - evigheten (evigheta) - evigheter - evighetene
18,fall,fall,et fall - fallet - fall - fallene (falla)
19,feil,error,en feil - feilen - feil - feilene (feila)
20,form,form,en/ei form - formen (forma) - former - formene
21,forskjell,difference,en forskjell - forskjellen - forskjeller - forskjellene
22,forutsetning,"supposition, assumption",en/ei forutsetning - forutsetningen (forutsetninga) - forutsetninger - forutsetningene
23,frist,time limit; deadline,en frist - fristen - frister - fristene
24,funn,find; discovery,et funn - funnet - funn - funnene (funna)
25,fyrstikk,match, en/ei fyrstikk -  fyrstikken (fyrstikka) -  fyrstikker -  fyrstikkene
26,gård,yard,en gård - gården - gårder - gårdene
27,gjeld,debt,en/ei gjeld - gjelden (gjelda) - gjelder - gjeldene
