ID,N,E,C
1,ånd,spirit; mind; genius,en ånd - ånden - ånder - åndene
2,andakt,devotion,en/ei andakt - andakten (andakta) - andakter - andaktene
3,ansatte,employee,
4,ansvar,responsibility,et ansvar - ansvaret - ansvar - ansvarene (ansvara)
5,arroganse,arroganse,en arroganse - arrogansen - arroganser - arrogansene
6,barn ,child ,et barn - barnet - barn - barnene (barna)
7,barndom,childhood,en barndom - barndommen - barndommer - barndommene
8,barndomsminne,childhood memory,et barndomsminne - barndomsminnet - barndomsminner - barndomsminnene (barndomsminna)
9,bekjent,acquaintance,
10,bemanning,complement; crew,en/ei bemanning - bemanningen (bemanninga) - bemanninger - bemanningene
11,bestefar,grandfather,en bestefar - bestefaren - bestefedre - bestefedrene
12,bestemor,grandmother,en/ei bestemor - bestemoren (bestemora) - bestemødre (bestemødrer) - bestemødrene
13,bonde,farmer,en bonde - bonden - bønder - bøndene
14,bordbønn,grace (relig.),en/ei bordbønn - bordbønnen (bordbønna)  - bordbønner - bordbønnene
15,brettspill,board game,et brettspill - brettspillet - brettspill - brettspillene (brettspilla)
16,bror,brother,en bror - broren - brødre - brødrene
17,bryllup,wedding,et bryllup - bryllupet - brylluper (bryllup) - bryllupene (bryllupa)
18,dagdrøm,daydream,en dagdrøm - dagdrømmen - dagdrømmer - dagdrømmene
19,datter,daughter,en datter -  datteren (dattera) - døtrer (døtre) - døtrene
20,dikter,poet,en dikter - dikteren - diktere - dikterne
21,dommer,judge,en dommer - dommeren - dommere - dommerne
22,drap,manslaughter; homicide,et drap - drapet - drap - drapene (drapa)
23,dumhet,stupidity, en/ei dumhet - dumheten (dumheta) - dumheter - dumhetene
24,dyd,virtue,en dyd - dyden - dyder - dydene
25,ektemann,husband,en ektemann - ektemannen - ektemenn - ektemennene
26,elev,student,en elev - eleven - elever - elevene
27,erfaring,experience,en/ei erfaring - erfaringen (erfaringa) - erfaringer - erfaringene
28,falsk,forgery,en falsk - falsken - falsker - falskene
29,fange,prisoner,en fange - fangen - fanger - fangene
30,far,father,en far - faren - fedre - fedrene
31,fare,danger; hazard; risk,en fare - faren - farer - farene
32,fare,danger,en fare - faren - farer - farene
33,feighet,cowardice,
34,følelse,feeling,en følelse - følelsen - følelser - følelsene
35,folk,people,et folk - folket - folk - folkene (folka)
36,forbindelse,relationship  , en forbindelse - forbindelsen - forbindelser - forbindelsene
37,forbrytelse,crime,en forbrytelse - forbrytelsen - forbrytelser - forbrytelsene
38,forhold,relationship (people),et forhold - forholdet - forhold - forholdene (forholda)
39,forstyrrelse,disturbance,en forstyrrelse - forstyrrelsen - forstyrrelser - forstyrrelsene
40,forsvar,defence,et forsvar - forsvaret - forsvar - forsvarene (forsvara)
41,forsyn,providence (relig.),et forsyn - forsynet - forsyn - forsynene (forsyna)
42,fortvilelse,desperation,en fortvilelse - fortvilelsen - fortvilelser - fortvilelsene
43,fred,peace,en fred - freden - freder - fredene
44,frekkhet,rudeness,en/ei frekkhet - frekkheten (frekkheta) - frekkheter - frekkhetene
45,frelse,salvation,en/ei frelse - frelsen (frelsa) - frelser - frelsene
46,fryd,"joy, delight",en fryd - fryden - fryder - frydene
47,gærning,"lunatic, madman",en gærning - gærningen - gærninger - gærningene
48,geografi,geography,en geografi - geografien - geografier - geografiene
49,gjerning,"deed, action",en/ei gjerning - gjerningen (gjerning) - gjerninger - gjerningene
50,gjestfrihet,hospitality,en/ei gjestfrihet - gjestfriheten (gjestfriheta) - gjestfriheter - gjestfrihetene
51,glede,joy, en/ei glede - gleden (gleda) - gleder - gledene
52,gøy,fun,
53,grådighet,greed,en/ei grådighet - grådigheten (grådigheta) - grådigheter - grådighetene
54,hat,hate,et hat - hatet - hat -hatene (hata)
55,hevn,revenge,en hevn - hevnen - hevner - hevnene
56,hustru,spouse,en/ei hustru - hustruen (hustrua) - hustruer - hustruene
57,hykleri,hypocrisy,et hykleri - hykleriet - hyklerier (hykleri) - hykleriene (hykleria)
58,idyll,idyl,en idyll - idyllen - idyller - idyllene
59,ild,fire,en ild - ilden - ilder - ildene
60,inntekt,income,en/ei inntekt - inntekten (inntekta) - inntekter - inntektene
61,kamerat,companion; friend,en kamerat - kameraten - kamerater - kameratene
62,kjærlighet,love,en/ei kjærlighet - kjærligheten (kjærligheta) - kjærligheter - kjærlighetene
63,kjedsomhet,boredom, en/ei kjedsomhet - kjedsomheten (kjedsomheta) - kjedsomheter - kjedsomhetene
64,kokke,cook,en/ei kokke - kokken (kokka) - kokker - kokkene
65,kompis,"mate, buddy",en kompis - kompisen - kompiser - kompisene
66,kone,wife,en/ei kone - konen (kona) - koner - konene
67,konvolutt,envelope,en konvolutt - konvolutten - konvolutter - konvoluttene
68,krasj,crash,en/et krasj - krasjen (krasjet) - krasj - krasjene (krasja)
69,kunstner,artist,en kunstner - kunstneren - kunstnere - kunstnerne
70,lærer,teacher,en lærer - læreren - lærere - lærerne
71,latskap,laziness,en latskap - latskapen -latskaper - latskapene
72,lege,doctor,en lege - legen - leger - legene
73,likegyldighet,indifference,en/ei likegyldighet - likegyldigheten (likegyldigheta) - likegyldigheter - likegyldighetene
74,løgn,lie ,en/ei løgn - løgnen (løgna) - løgner - løgnene
75,lykke,"happiness, joy",en/ei lykke - lykken (lykka) - lykker - lykkene
76,mann,man ,en mann - mannen - menn - mennene
77,matematikk,math,en matematikk - matematikken - matematikker - matematikkene
78,medfølelse,"empathy, compassion",en medfølelse - medfølelsen - medfølelser - medfølelsene
79,minne,memory,et minne - minnet - minner - minnene (minna)
80,mor,mother,en/ei mor - moren (mora) - mødrer (mødre) - mødrene
81,mord,murder,et mord - mordet - mord - mordene (morda)
82,mot,courage,et mot - motet - mot - motene (mota)
83,motstander,opponent,en motstander - motstanderen - motstandere - motstanderne
84,nevø,nephew,en nevø - nevøen - nevøer - nevøene
85,niese,niece,en/ei niese - niesen (niesa) - nieser - niesene
86,onkel,uncle,en onkel - onkelen - onkler - onklene
87,ønske,wish,et ønske - ønsket - ønsker - ønskene (ønska)
88,opplevelse,experience,en opplevelse - opplevelsen - opplevelser - opplevelsene
89,opplysning,enlightenment,en opplysning - opplysningen (opplysninga) - opplysninger - opplysningene
