ID,N,E,C
1,at,that,
2,attpå,in addition to,
3,av og til,now and then,
4,bak,behind,
5,begge,both,
6,blant,among,
7,bortsett fra,except for,
8,de ,they,
9,deg,yourself,
10,dens,"one's, his, her, its, theirs",
11,dere,"you, II",
12,dere,"yourself, II",
13,deres,"yours, II",
14,derfor,"because of that, that's why",
15,dets,"one's, his, her, its, theirs",
16,di,"yours, f",
17,din,"yours, m",
18,dine,"yours, pl",
19,ditt,"yours, n",
20,du,you,
21,eller,or,
22,enn,than,
23,enten,either,
24,for,before,
25,før,before; previous to,
26,foran,in front of,
27,fordi,because   ,
28,fra,from,
29,gjennom,through,
30,ham,him ,
31,han,he ,
32,hans,his,
33,heller ikke,not either,
34,henne ,her,
35,hennes,her,
36,hun,she,
37,Hva,what,
38,Hvem,who,
39,"Hvilke(-n,-t)",which,
40,Hvis,whose,
41,Hvor,where,
42,Hvordan,how,
43,Hvorfor,why,
44,i  ,in  ,
45,i midten av,in the middle of ,
46,ifølge,in accordance with,
47,imidlertid,however,
48,innimellom, in between; among,
49,jeg,I,
50,med,with,
51,med en gang,right away,
52,med glede ,with pleasure,
53,meg,myself,
54,mellom,between,
55,mens,while,
56,mi,"mine, f",
57,min,"mine, m",
58,mine,"mine, pl",
59,mitt,"mine, n",
60,mot,in the direction of,
61,nær,close to,
62,Når,when,
63,ned,down,
64,nettopp,just,
65,noe,something,
66,noen,someone,
67,og,and,
68,om,about,
69,omkring,around,
70,oss,ourselves,
71,på,on,
72,på høyre side av,to the right from ,
73,på toppen side av,on the top,
74,på undersider av,underside,
75,på venstre side av,to the left from ,
76,samme,the same,
77,seg,"himself, herself, themselves",
78,si ,"her, f",
79,sin,"his, m",
80,sine,"theirs, pl",
81,sitt,"one's, n",
82,slik,such,
83,til,"until; to; more, additional",
84,til og med,even,
85,tross,in spite of,
86,under,under ,
87,unna,away from,
88,utenfor,outside,
89,vår,"ours, m and f",
90,våre,"ours, pl",
91,vårt,"ours, n",
92,ved siden av,at,
93,vi,we,
