ID,N,E,C
1,abonnere på,subscribe to,abonnerer - abonnerte - har abonnert
2,adlyde,obey,adlyder - adlød - har adlydt
3,anbefale,recommend,anbefaler - anbefalte - har anbefalt
4,ane,"suspect, guess",aner - ante - har ant
5,anklage,accuse,anklager - anklaget - har anklaget
6,anmelde,report,anmelder - anmeldte - har anmeldt
7,ansette,employ,ansetter - ansatte - har ansatt
8,åpne,open,åpner - åpnet - har åpnet
9,arbeide,work,arbeider - arbeidet - har arbeidet
10,avbryte,interrupt,avbryter - avbrøt (avbrøyt) - har avbrutt
11,avlyse,cancel; call off,avlyser - avlyste - har avlyst
12,avslå,"repulse, refuse, reject",avslår - avslo - har avslått
13,avstå,"give up, renounce",avstår - avstod - har avstatt
14,bade,bath,bader - badet - har badet
15,bære,carry; bear; support,bærer - bar - har båret
16,bake,bake,baker - bakte - har bakt
17,banke,"beat, hit",banker - banket - har banket
18,barbere,shave,barberer - barberte - har barbert
19,be,beg; ask politely,ber - ba (bad) - har bedt
20,bearbeide,adapt (smth); process,bearbeider - bearbeidet - har bearbeidet
21,bedøve,drug,bedøver - bedøvet - har bedøvet
22,bedøve,anaesthetise,bedøver - bedøvde - har bedøvd
23,bedra,cheat (smb); deceive,bedrar - bedro - har bedratt
24,begynne,begin,begynner - begynte - har begynt
25,behandle,handle; treat,behandler - behandlet - har behandlet
26,beherske,master; control,behersker - behersket - har behersket
27,beite,"graze, pasture",beiter - beitet - har beitet
28,bekymre,worry; trouble,bekymrer - bekymret - har bekymret
29,belønne,reward,belønner - belønnet - har belønnet
30,beskrive,describe,beskriver - beskrev - har beskrevet
31,beskytte,protect,beskytter - beskyttet - har beskyttet
32,beslå,mount (smth),beslår - beslo - har beslått
33,besøke,visit,besøker - besøkte - har besøkt
34,bestå,"last, endure; pass (exam)",består - besto - har bestått
35,bestemme,decide,bestemmer - bestemte - har bestemt
36,bestige,"mount, climb",bestiger - besteg - har besteget
37,bestille,"order; book, reserve",bestiller - bestilte - har bestilt
38,beta,fascinate,betar - betok - har betatt
39,betale,pay,betaler - betalte - har betalt
40,bety,"mean (signify, matter)",betyr - betydde - har betydd
41,bevege,move; touch,beveger - bevegde (beveget) - har bevegd (beveget)
42,bidra,contribute,bidrar - bidro - har bidratt
43,binde,bind,binder - bandt - har bundet
44,bite,bite,biter - bet - har bit
45,bjeffe,"bark, yap",bjeffer - bjeffet - har bjeffet
46,blande,"mix, blend",blander - blandet - har blandet
47,blåse,blow,blåser - blåste - har blåst
48,bli,become (be),blir - ble - har blitt
49,blø,bleed,blør - blødde - har blødd
50,bo,live (be resident),bor - bodde - har bodd
51,bomme,miss (the mark),bommer - bommet - har bommet
52,bøye,bend,bøyer - bøyet (bøyde) - har bøyet (bøyd)
53,brekke,break,brekker - brakk - har brukket
54,brenne,burn (smth),brenner - brente - har brent
55,brenne,burn (be on fire),brenner - brant - har brent
56,bringe,bring,bringer - brakte - har brakt
57,briste,"burst, crack",brister - brast - har bristet (brustet)
58,bruke,use,bruker - brukte - har brukt
59,bry,"bother, trouble",bryr - brydde - har brydd
60,bryte,"break, violate",bryter - brøt - har brutt
61,bukke,bow,bukker - bukket - har bukket
62,burde,ought to,bør - burde - har burdet
63,by,"offer, bid",byr - bød - har budt (bydd)
64,bygge,build,bygger - bygde - har byggd
65,bytte,"change, exchange, swap",bytter - byttet - har byttet
66,dandere,arrange; shape,danderer - danderte - har dandert
67,danse,dance,danser - danset - har danset
68,dekke,cover; prepare table,dekker - dekket - har dekket
69,dele,divide; share,deler - delte - har delt
70,demme,repress; restrain,demmer - demmet - har demmet
71,demokratisere,democratize,demokratiserer - demokratiserte - har demokratisert
72,dette,fall,detter - datt - har dettet
73,diskutere,discuss,diskuterer - diskuterte - har diskutert
74,dø,"die, pass away",dør - døde - har dødd
75,dra,"go, leave; move; pull, drag",drar - dro (drog) - har dratt (dradd)
76,drepe,kill,dreper - drepte - har drept
77,drikke,drink,drikker - drakk - har drukket
78,drite,shit,driter - dret - har dritet
79,drive,"drive, operate (enterprise)",driver - drev (dreiv) - har drevet
80,drømme,dream,drømmer - drømte - har drømt
81,drøye,drag on,drøyer - drøyde - har drøyd
82,drukne,drown,drukner - druknet - har druknet
83,dukke,dive; emerge,dukker - dukket - har dukket
84,dumpe,dump,dumper - dumpet - har dumpet
85,dusje,shower,dusjer - dusjet - har dusjet
86,dyrke,cultivate,dyrker - dyrket - har dyrket
87,dytte,push; shove,dytter - dyttet - har dyttet
88,egne seg,"fit, be suitable",egner - egnet - har egnet
89,eie,"own, posess",eier - eide - har eid
90,ese,rise; ferment,eser - este - har est
91,etablere,establish,etablerer - etablerte - har etablert
92,ete,eat greedily,eter - åt - har ett
93,evangelisere,evangelize,evangeliserer - evangeliserte - har evangelisert
94,få,"get, receive",får - fikk - har fått
95,falle,fall,faller - falt - har falt
96,fare,"drive, rush, travel",farer - for - har fart
97,feie,sweep,feier - feiet (feide) - har feiet (feid)
98,feire,celebrate,feirer - feiret - har feiret
99,finne,find,finner - fant - har funnet
100,finnes,exist,finnes - fantes - har funnes
101,fiske,fish,fisker - fisket - har fisket
102,fleipe,joke ,fleiper - fleipte - har fleipt
103,flire,grin,flirer - flirte - har flirt
104,fly,fly,flyr - fløy - har fløyet (flydd)
105,flykte,flee,flykter - flyktet - har flyktet
106,flyte,float,flyter - fløt - har flytt
107,flytte,move; relocate,flytter - flyttet - har flyttet
108,føde,"bear, give birth to",føder - fødte - har født
109,føle,feel,føler - følte - har følt
110,følge,follow,følger - fulgte - har fulgt
111,føne,blow-dry,føner - fønte - har fønt
112,forandre,change ,forandrer - forandret - har forandret
113,forbanne,swear at; curse,forbanner - forbannet - har forbannet
114,forbedre,improve,forbedrer - forbedret (forbedra) - har forbedret  (forbedra) 
115,forberede,make preparations for,forbereder - forberedte - har forberedt
116,forbli,"remain, stay",forblir - forble - har forblitt
117,føre,carry; transport; lead,fører - førte - har ført
118,foregå,"go on, take place",foregår - foregikk - har foregått
119,foregi,pretend,foregir - forega - har foregitt
120,forelske,fall in love with,forelsker - forelsket - har forelsket
121,forene,unite,forener - forente - har forent
122,foreslå,"propose, suggest",foreslår - foreslo - har foreslått
123,forestille,represent,forestiller - forestilte - har forestilt
124,foreta,undertake,foretar - foretok - har foretatt
125,foretrekke,prefer ,foretrekker - foretrakk - har foretrukket
126,forgripe,use violence against,forgriper - forgrep - har forgrepet
127,forkjøle,catch a cold,forkjøler - forkjølte - har forkjølt
128,forklare,explain,forklarer - forklarte - har forklart
129,forlate,"leave, forgive",forlater - forlot - har forlatt
130,forlike,"reconcile, compromise",forliker - forlikte - har forlikt
131,fornærme,"offend, insult",fornærmer - fornærmet - har fornærmet
132,fornye,renew,fornyer - fornyet - har fornyet
133,forsikre,assure; insure,forsikrer - forsikret - har forsikret
134,forsove seg,oversleep,forsover - forsov - har forsovet
135,forstå,understand,forstår - forstod - har forstått
136,forstyrre,disturb,forstyrrer - forstyrret - har forstyrret
137,forsvare,defend,forsvarer - forsvarte - har forsvart
138,forsvinne,disappear,forsvinner - forsvant - har forsvunnet
139,fortelle,tell,forteller - fortalte - har fortalt
140,fortsette,continue,fortsetter - fortsatte - har fortsatt
141,forvente,expect,forventer - forventet - har forventet
142,forverre,make worse,forverrer - forverret - har forverret
143,fosse,gush; foam,fosser - fosset - har fosset
144,fotografere,photograph,fotograferer - fotograferte - har fotografert
145,frelse,"save, convert (relig)",frelser - frelste - har frelst
146,fri,propose (marriage),frir - fridde - har fridd
147,friste,tempt,frister - fristet - har fristet
148,fryse,"freeze, be cold",fryser - frøs - har frosset
